img,sigma,k,h,a,mu,lam,dtheta,dt,iters,psnr,ssim,score,log_path
man.tiff,10,0.4,0.12,0.1,5.0,1.2,2.0,0.05,12,30.2353818280602,0.8368344157261403,0.6671433784870077,results/sweeps/man_sigma10\metrics.1761225447.22772.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.0,2.0,0.05,6,31.302987881032816,0.8491128633563619,0.894379004144658,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.2,2.0,0.05,6,31.235593892567874,0.847924515412158,0.8797451878403079,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.0,2.0,0.05,8,31.188458353604624,0.8457117271750957,0.8685430987718435,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.2,2.0,0.05,8,31.122239304236135,0.8445707402142602,0.8541830571720548,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.0,2.0,0.05,10,31.163971502537144,0.8469211949561445,0.8643749339692508,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.2,2.0,0.05,10,31.110695926822075,0.8460347979243987,0.8528438680160026,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.0,2.0,0.05,12,31.057279575126422,0.8457727407755399,0.8417210097202255,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.2,2.0,0.05,12,31.020088473936063,0.8451772947477498,0.8336876344123056,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.0,2.0,0.05,14,30.907610987908114,0.8433194213765745,0.809352261460751,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.2,2.0,0.05,14,30.887335277344683,0.8430246918824116,0.8049935803894648,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.0,2.0,0.05,6,31.06862938237161,0.8406104587338471,0.840431799581496,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.2,2.0,0.05,6,30.99796412070452,0.8394155003137187,0.8251234145352664,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.0,2.0,0.05,8,31.197318542261606,0.846446513902719,0.870871974561688,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.0,2.0,0.05,10,31.175143147885468,0.8478923859610583,0.8673426682422907,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.2,2.0,0.05,10,31.12317145188589,0.8471413632286589,0.8561733927488046,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.0,2.0,0.05,12,31.070337474442443,0.8469698696406804,0.845233196461018,results/sweeps/man_sigma10\metrics.jsonl
